AUC1,EER1,AUC2,EER2,AUC_cross,EER_cross
0.9972918855042017,0.008579799107142858,0.9998100123491973,0.0007836990595611285,0.5142093089530576,0.5066688979169842
0.9768342458934793,0.13811846689895474,0.986807899740038,0.07447716602646182,0.7758082586427657,0.31914657134727553
0.9725467289719626,0.06793573022736783,0.9777269027269027,0.0674094424094424,0.908974358974359,0.1688416371343201
0.19151467089611418,0.7697505197505197,0.9966562322140011,0.017857142857142856,0.9868706990220935,0.059045204463531134
0.9994882530821121,0.004256803907885555,0.9999525030872993,0.0003562268452550584,0.9775858755227422,0.06722911847939186
0.992833806701581,0.05934478173072188,0.9292124542124542,0.16224053724053727,0.7367834062956014,0.2877944548676256
0.9886260633105565,0.04414917724166783,0.9971695873106331,0.00819205014959396,0.2060292132239703,0.7627731531421515
0.9732623186231434,0.07106114838073599,0.9894622515871271,0.0746822513285321,0.8900014222727919,0.18981652680984212
0.8222539328971181,0.1841964824353798,0.9945559350982067,0.0697765442641617,0.4036883412630637,0.5950469684030744
0.987051496560699,0.035215653467187205,0.9926474076182344,0.014159669844884018,0.7997220803790422,0.2381109836847789
0.9984681799192313,0.0045258320568166,0.9996797608881298,0.001636777682892115,0.9988288398194461,0.02944369891423692
1.0,0.0,0.9095537914043252,0.2418614837120175,0.9305100830367735,0.16852906287069985
1.0,0.0,0.9988259570229115,0.002276931834353209,0.9818096585439355,0.0352694229819436
0.781065206570433,0.27170731707317075,0.9996200246983945,0.0009974351667141636,0.9763001451417286,0.06922398881282019
0.7807708362320858,0.3027062752191457,1.0,0.0,0.865584912321996,0.17160223216037035
0.9912891986062717,0.06456445993031357,0.995232673971823,0.013092358047530952,0.8529328053976678,0.20412233485965897
0.9996746607176056,0.002440044617958728,0.8920859464082098,0.18596778791334095,0.7340649942987458,0.3387020144431775
0.8959947960226745,0.18788681349316977,0.5634429262738401,0.488756048961002,0.6442438290431458,0.3679659224919686
0.9866796621182585,0.09032999164578114,0.9133195396353292,0.16992758308547778,0.8384297710273941,0.24113935667416145
